CompanyCode,CompanyName,IndustryCode,Province
000637,茂化实华,广东省,C25
000638,*ST 万方,吉林省,I65
000639,西王食品,山东省,C13
000650,仁和药业,江西省,C27
000651,格力电器,广东省,C38
000652,泰达股份,天津市,F51
000655,金岭矿业,山东省,B08
000656,金科股份,重庆市,K70
000657,中钨高新,海南省,C32
000659,珠海中富,广东省,C29
000661,长春高新,吉林省,C27
000663,永安林业,福建省,C21
000665,湖北广电,湖北省,R86
000666,经纬纺机,北京市,J67
000667,美好置业,云南省,K70
000668,荣丰控股,山东省,K70
000671,阳光城,福建省,K70
000672,上峰水泥,甘肃省,C30
000676,智度股份,广东省,I64
000677,恒天海龙,山东省,C28
000678,襄阳轴承,湖北省,C34
000679,大连友谊,辽宁省,F52
000680,山推股份,山东省,C35
000681,视觉中国,江苏省,R87
000682,东方电子,山东省,I65
000683,远兴能源,内蒙古自治区,C26
000685,中山公用,广东省,D46
000686,东北证券,吉林省,J67
000688,国城矿业,重庆市,B09
000690,宝新能源,广东省,D44
000691,亚太实业,甘肃省,C26
000692,惠天热电,辽宁省,D44
000695,滨海能源,天津市,C23
000698,沈阳化工,辽宁省,C25
000700,模塑科技,江苏省,C36
000701,厦门信达,福建省,F51
000702,正虹科技,湖南省,C13
000703,恒逸石化,广西壮族自治区,C28
000705,浙江震元,浙江省,F51
000707,*ST 双环,湖北省,C26
000708,中信特钢,湖北省,C31
000709,河钢股份,河北省,C31
000710,贝瑞基因,四川省,M74
000711,京蓝科技,黑龙江省,E48
000712,锦龙股份,广东省,J67
000713,丰乐种业,安徽省,A05
000715,中兴商业,辽宁省,F52
000716,黑芝麻,广西壮族自治区,C14
000717,韶钢松山,广东省,C31
000718,苏宁环球,吉林省,K70
000719,中原传媒,河南省,R85
000720,新能泰山,山东省,K70
000721,西安饮食,陕西省,H62
000722,湖南发展,湖南省,D44
000723,美锦能源,山西省,C25
000725,京东方A,北京市,C39
000726,鲁泰A,山东省,C17
000727,冠捷科技,江苏省,C39
000728,国元证券,安徽省,J67
000729,燕京啤酒,北京市,C15
000731,四川美丰,四川省,C26
000732,泰禾集团,福建省,K70
000733,振华科技,贵州省,C39
000735,罗牛山,海南省,A03
000736,中交地产,重庆市,K70
000737,北方铜业,山西省,C26
000738,航发控制,江苏省,C37
000739,普洛药业,浙江省,C27
000750,国海证券,广西壮族自治区,J67
000751,锌业股份,辽宁省,C32
000753,漳州发展,福建省,F52
000755,山西路桥,山西省,G54
000756,新华制药,山东省,C27
000757,浩物股份,四川省,F52
000758,中色股份,北京市,B09
000759,中百集团,湖北省,F52
000761,本钢板材,辽宁省,C31
000762,西藏矿业,西藏自治区,B08
000766,通化金马,吉林省,C27
000767,晋控电力,山西省,D44
000768,中航西飞,陕西省,C37
000776,广发证券,广东省,J67
000777,中核科技,江苏省,C34
000778,新兴铸管,河北省,C33
000779,甘咨询,甘肃省,M74
000782,美达股份,广东省,C28
000783,长江证券,湖北省,J67
000785,居然之家,湖北省,L72
000786,北新建材,北京市,C30
000788,北大医药,重庆市,C27
000789,万年青,江西省,C30
000790,华神科技,四川省,C27
000791,甘肃电投,甘肃省,D44
000792,盐湖股份,青海省,C26
000793,华闻集团,海南省,R85
000795,英洛华,浙江省,C30
000797,中国武夷,福建省,K70
000798,中水渔业,北京市,A04
000799,酒鬼酒,湖南省,C15
000800,一汽解放,吉林省,C36
000801,四川九洲,四川省,C39
000802,ST 北文,北京市,R86
000803,北清环能,四川省,N77
000807,云铝股份,云南省,C32
000810,创维数字,四川省,C39
000811,冰轮环境,山东省,C34
000812,陕西金叶,陕西省,C23
000813,德展健康,新疆维吾尔自治区,C27
000815,美利云,宁夏回族自治区,C22
000816,智慧农业,江苏省,C34
000818,航锦科技,辽宁省,C26
000819,岳阳兴长,湖南省,C25
000820,*ST 节能,江西省,C42
000821,京山轻机,湖北省,C35
000822,山东海化,山东省,C26
000823,超声电子,广东省,C39
000825,太钢不锈,山西省,C31
000826,启迪环境,湖北省,N77
000828,东莞控股,广东省,G54
000829,天音控股,江西省,F51
000830,鲁西化工,山东省,C26
000831,五矿稀土,山西省,C32
000833,粤桂股份,广西壮族自治区,S90
000836,富通信息,天津市,C38
000837,秦川机床,陕西省,C34
000838,财信发展,重庆市,K70
000848,承德露露,河北省,C15
000850,华茂股份,安徽省,C17
000851,高鸿股份,贵州省,F52
000852,石化机械,湖北省,C35
000856,冀东装备,河北省,C35
000858,五粮液,四川省,C15
000859,国风新材,安徽省,C29
000860,顺鑫农业,北京市,C15
000861,海印股份,广东省,L72
000862,银星能源,宁夏回族自治区,D44
000863,三湘印象,上海市,K70
000868,安凯客车,安徽省,C36
000869,张裕A,山东省,C15
000875,吉电股份,吉林省,D44
000876,新希望,四川省,C13
000877,天山股份,新疆维吾尔自治区,C30
000878,云南铜业,云南省,C32
000880,潍柴重机,山东省,C34
000881,中广核技,辽宁省,C26
000882,华联股份,北京市,L72
000883,湖北能源,湖北省,D44
000885,城发环境,河南省,G54
000886,海南高速,海南省,K70
000887,中鼎股份,安徽省,C29
000888,峨眉山A,四川省,N78
000890,法尔胜,江苏省,C33
000892,欢瑞世纪,重庆市,R86
000893,亚钾国际,广东省,C26
000895,双汇发展,河南省,C13
000897,津滨发展,天津市,K70
000898,鞍钢股份,辽宁省,C31
000899,赣能股份,江西省,D44
000900,现代投资,湖南省,G54
000901,航天科技,黑龙江省,C36
000902,新洋丰,湖北省,C26
000903,云内动力,云南省,C34
000905,厦门港务,福建省,G55
000906,浙商中拓,浙江省,F51
000908,景峰医药,湖南省,C27
000909,数源科技,浙江省,K70
000910,大亚圣象,江苏省,C20
000911,南宁糖业,广西壮族自治区,C13
000912,泸天化,四川省,C26
000913,钱江摩托,浙江省,C37
000915,华特达因,山东省,C27
000917,电广传媒,湖南省,I63
000918,嘉凯城,湖南省,K70
000919,金陵药业,江苏省,C27
000920,沃顿科技,贵州省,C26
000921,海信家电,广东省,C38
000922,佳电股份,黑龙江省,C38
000923,河钢资源,河北省,B08
000925,众合科技,浙江省,C35
000926,福星股份,湖北省,K70
000927,中国铁物,天津市,F51
000928,中钢国际,吉林省,E48
000929,兰州黄河,甘肃省,C15
000930,中粮科技,安徽省,C26
000931,中关村,北京市,C27
000932,华菱钢铁,湖南省,C31
000933,神火股份,河南省,C32
000935,四川双马,四川省,C30
000936,华西股份,江苏省,C28
000937,冀中能源,河北省,B06
000938,紫光股份,北京市,C39
000948,南天信息,云南省,I65
000949,新乡化纤,河南省,C28
000950,重药控股,重庆市,F51
000951,中国重汽,山东省,C36
000952,广济药业,湖北省,C27
000953,河化股份,广西壮族自治区,C27
000955,欣龙控股,海南省,C17
000957,中通客车,山东省,C36
000958,东方能源,河北省,J69
000959,首钢股份,北京市,C31
000960,锡业股份,云南省,C32
000961,中南建设,江苏省,K70
000962,东方钽业,宁夏回族自治区,C32
000963,华东医药,浙江省,F52
000965,天保基建,天津市,K70
000966,长源电力,湖北省,D44
000967,盈峰环境,浙江省,N77
000968,蓝焰控股,山西省,B07
000969,安泰科技,北京市,C33
000970,中科三环,北京市,C39
000973,佛塑科技,广东省,C29
000975,银泰黄金,内蒙古自治区,B09
000976,华铁股份,广东省,C37
000977,浪潮信息,山东省,C39
000978,桂林旅游,广西壮族自治区,N78
000980,*ST 众泰,浙江省,C36
000981,*ST 银亿,甘肃省,C36
000982,中银绒业,宁夏回族自治区,C17
000983,山西焦煤,山西省,B06
000985,大庆华科,黑龙江省,C26
000987,越秀金控,广东省,J69
000988,华工科技,湖北省,C39
000989,九芝堂,湖南省,C27
000990,诚志股份,江西省,C26
000993,闽东电力,福建省,D44
000995,皇台酒业,甘肃省,C15
000996,中国中期,北京市,F51
000997,新大陆,福建省,I65
000998,隆平高科,湖南省,A01
000999,华润三九,广东省,C27
001201,东瑞股份,广东省,A03
001202,炬申股份,广东省,G58
001203,大中矿业,内蒙古自治区,B08
001205,盛航股份,江苏省,G55
001206,依依股份,天津市,C22
001207,联科科技,山东省,C26
001208,华菱线缆,湖南省,C38
001209,洪兴股份,广东省,C18
001210,金房节能,上海市,D44
001211,双枪科技,浙江省,C20
